run_id,modelo,gmd_m,escenario,contingencia,bess_bus,bess_mw,variante_parametro,archivo_aux,estado
R000001,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000002,GMD_0p9144m,0.9144,BASE,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000003,GMD_0p9144m,0.9144,BASE,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000004,GMD_0p9144m,0.9144,BASE,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000005,GMD_0p9144m,0.9144,BASE,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000006,GMD_0p9144m,0.9144,BASE,FallaElevador2_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000007,GMD_0p9144m,0.9144,BASE,FallaElevador3_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
R000008,GMD_0p9144m,0.9144,BASE,FallaTrafo1_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000009,GMD_0p9144m,0.9144,BASE,FallaTrafo2_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000010,GMD_0p9144m,0.9144,BASE,FallaTrafo1_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000011,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000012,GMD_0p9144m,0.9144,B1_FV15,FallaLinea2_PuntaEvans_ElBight,B5,0,base,aux/bloque_001.aux,planned
R000013,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_PuntaEvans_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000014,GMD_0p9144m,0.9144,B1_FV15,FallaLinea1_ElBight_SchoolHouse,B5,0,base,aux/bloque_001.aux,planned
R000015,GMD_0p9144m,0.9144,B1_FV15,FallaElevador1_PuntaEvans,B5,0,base,aux/bloque_001.aux,planned
