source_path,repository_path,sha256,bytes,category,evidence_class,version,note
TFM/Entrega_final/reproducibilidad/v2/bess_final/historico_der/energia_bess_pre_simulacion.csv,archive/v2-planning/bess/historico_der/energia_bess_pre_simulacion.csv,6ff869c141c9f39ccdd117ca0cd0bacf005722c178c4ec2271938d18f53f95d4,369,planning-archive,historical-derived-or-planned,v2,Artefacto histórico de planificación o cálculo intermedio; no es el resultado final gobernante.
TFM/Entrega_final/reproducibilidad/v2/bess_final/historico_der/matriz_resultados_bess_pre_simulacion.csv,archive/v2-planning/bess/historico_der/matriz_resultados_bess_pre_simulacion.csv,ae32c6a6a72efe7122b49f337ab7ff4f02a03e8028af900ba41ba2d782a0bb08,602,planning-archive,historical-derived-or-planned,v2,Artefacto histórico de planificación o cálculo intermedio; no es el resultado final gobernante.
TFM/Entrega_final/reproducibilidad/v2/bess_final/historico_planificacion/matriz_resultados_bess_v23_vacia.csv,archive/v2-planning/bess/historico_planificacion/matriz_resultados_bess_v23_vacia.csv,8edd991c9639083def15bff1d9abd8e5a17a1db084a256189968161c78f5a00a,827,planning-archive,historical-derived-or-planned,v2,Artefacto histórico de planificación o cálculo intermedio; no es el resultado final gobernante.
TFM/Entrega_final/reproducibilidad/v2/manifest_campana.csv,archive/v2-planning/manifest_campana.csv,f216f6dbe0efe4e1d7359731dcbcdd72ec26ba3bf227c09742c7bad20c63a840,439619,planning-archive,planned-not-executed,v2,Plan de campaña con status=planned; no demuestra ejecución de 4.400 corridas.
TFM/Entrega_final/reproducibilidad/v2/resumen_manifest_campana.json,archive/v2-planning/resumen_manifest_campana.json,e42f2cb11fb523db1a3ff87bf457adb4cc0c316623bf76447ff13fe19fa3a67b,1007,planning-archive,planned-not-executed,v2,Plan de campaña con status=planned; no demuestra ejecución de 4.400 corridas.
TFM/Entrega_final/reproducibilidad/v2/EVIDENCIA_POWERWORLD_BASE.md,data/provenance/v2/EVIDENCIA_POWERWORLD_BASE.md,d9501f16669f6bc062000eaaed054784e5fff79a45f31fc23339ebb39e2ebbc4,4633,provenance,mixed-see-data-dictionary,v2,"Contiene observaciones documentales, especificaciones, proxies, hipótesis o derivados según sus campos."
TFM/Entrega_final/reproducibilidad/v2/aux_schema_validado.json,data/provenance/v2/aux_schema_validado.json,e408903465af2f354d4e19198939687ec5da4f44a762b7a09d147ef7f94857c9,3505,provenance,mixed-see-data-dictionary,v2,"Contiene observaciones documentales, especificaciones, proxies, hipótesis o derivados según sus campos."
TFM/Entrega_final/reproducibilidad/v2/casos_v2_validacion.json,data/provenance/v2/casos_v2_validacion.json,8ab70c2483b8b221226b729339866fd58ac47bed8ae3bb95a06f746887546c55,4046,provenance,mixed-see-data-dictionary,v2,"Contiene observaciones documentales, especificaciones, proxies, hipótesis o derivados según sus campos."
TFM/Entrega_final/reproducibilidad/v2/hashes_originales.csv,data/provenance/v2/hashes_originales.csv,fdeef26d2da9e9911d5804eb97eedc12c81e993e90a12afe0750d27104f2d31b,655,provenance,mixed-see-data-dictionary,v2,"Contiene observaciones documentales, especificaciones, proxies, hipótesis o derivados según sus campos."
TFM/Entrega_final/reproducibilidad/v2/registro_parametros.csv,data/provenance/v2/registro_parametros.csv,aa826ff936248395879fff0329f9643aa02d998cecfcd7943999d41c66d8b519,1989,provenance,mixed-see-data-dictionary,v2,"Contiene observaciones documentales, especificaciones, proxies, hipótesis o derivados según sus campos."
