zotero_key,title,year,doi,url,item_type,status
ZUXE27ZP,A review of key functionalities of battery energy storage system in renewable energy integrated power systems,2021,10.1002/est2.224,https://doi.org/10.1002/est2.224,article-journal,APROBADO_V2
L9VIK8DD,A review of the energy storage systems of non-interconnected European islands,2024,10.3390/su16041572,https://doi.org/10.3390/su16041572,article-journal,APROBADO_V2
ZXX5N4AM,Atlas de radiación solar de Colombia,2005,,https://bdigital.upme.gov.co/handle/001/1236,book,APROBADO_V2
2UVXQIEQ,Contingency analysis: An introduction,,,https://www.powerworld.com/WebHelp/Content/MainDocumentation_HTML/contingency_analysis_an_introduction.htm,webpage,APROBADO_V2
M29D77XK,Contingency analysis: Definitions,,,https://www.powerworld.com/WebHelp/Content/MainDocumentation_HTML/Contingency_Analysis_Definitions.htm,webpage,APROBADO_V2
DGAFG9DK,Electric power distribution engineering,2014,,,book,APROBADO_V2
9BT87C25,Grid-scale battery storage: Frequently asked questions,2019,,https://www.nrel.gov/docs/fy19osti/74426.pdf,report,APROBADO_V2
N8AKENLA,Integración de las energías renovables no convencionales en Colombia,2015,,https://bdigital.upme.gov.co/handle/001/1311,book,APROBADO_V2
DNEN9HVX,Ley 1715 de 2014: Por medio de la cual se regula la integración de las energías renovables no convencionales al Sistema Energético Nacional,2014,,https://www.suin-juriscol.gov.co/viewDocument.asp?ruta=Leyes/1687143,legislation,APROBADO_V2
DTKWYTC7,"Ley 2099 de 2021: Por medio de la cual se dictan disposiciones para la transición energética, la dinamización del mercado energético y la reactivación económica del país",2021,,https://www.suin-juriscol.gov.co/viewDocument.asp?ruta=Leyes/30041997,legislation,APROBADO_V2
EKC44FAT,"Microgrids energy management systems: A critical review on methods, solutions, and prospects",2018,10.1016/j.apenergy.2018.04.103,https://doi.org/10.1016/j.apenergy.2018.04.103,article-journal,APROBADO_V2
SFRU8STD,Optimal capacity sizing for the integration of a battery and photovoltaic microgrid to supply auxiliary services in substations under a contingency,2020,10.3390/en13226037,https://doi.org/10.3390/en13226037,article-journal,APROBADO_V2
ZANDMWQF,Optimal integration of photovoltaics in micro-grids that are dominated by diesel power plants: Recommendations for utilities and consulting engineers,2019,,https://iea-pvps.org/wp-content/uploads/2020/02/IEA-PVPS_T09-19-2019-REPORT_Integration_of_PV_in_Diesel_Micro-grids.pdf,report,APROBADO_V2
4NQEQUHI,"Optimal sizing of battery energy storage systems for dynamic frequency control in an islanded microgrid: A case study of Flinders Island, Australia",2020,10.1016/j.energy.2020.117059,https://doi.org/10.1016/j.energy.2020.117059,article-journal,APROBADO_V2
8JFQJ4KA,Power system analysis,1994,,,book,APROBADO_V2
TCJFYXBK,Power system analysis and design,2017,,,book,APROBADO_V2
HSZU6GIG,Power system stability and control,1994,,,book,APROBADO_V2
ICCSRCQE,Resolución 18 de 2003: Bases conceptuales para la fórmula tarifaria de energía eléctrica aplicable a los usuarios regulados del Archipiélago de San Andrés y Providencia,2003,,https://gestornormativo.creg.gov.co/gestor/entorno/docs/resolucion_creg_0018_2003.htm,legislation,APROBADO_V2
SXMH6JCX,Resolución 68 de 2009: Por la cual se verifica el cumplimiento de las condiciones que permiten la inclusión de áreas de servicio exclusivo en el contrato para la prestación del servicio público domiciliario de energía eléctrica en el área de San Andrés,2009,,https://gestornormativo.creg.gov.co/Publicac.nsf/1c09d18d2d5ffb5b05256eee00709c02/e8f2c17f4633f71d0525785a007a715d.html,legislation,APROBADO_V2
WX7U5WSU,"Resolución 91 de 2007: Por la cual se establecen las metodologías generales para remunerar las actividades de generación, distribución y comercialización de energía eléctrica en Zonas No Interconectadas",2007,,https://gestornormativo.creg.gov.co/gestor/entorno/docs/resolucion_creg_0091_2007.htm,legislation,APROBADO_V2
QP3CGZJA,Review on energy storage systems in microgrids,2021,10.3390/electronics10172134,https://doi.org/10.3390/electronics10172134,article-journal,APROBADO_V2
