occurrence_id,display_text,zotero_key,field_status
TFMV3-001,"(Instituto de Planificación y Promoción de Soluciones Energéticas para las Zonas No Interconectadas [IPSE], 2023, 2025)",6HE3DZ9L|9JH7ND4C,DINAMICO
TFMV3-002,"(Unidad de Planeación Minero Energética [UPME] e Instituto de Hidrología, Meteorología y Estudios Ambientales [IDEAM], 2005)",ZXX5N4AM,DINAMICO
TFMV3-003,"(Bollen y Rönnberg, 2017; Ding y Mather, 2017; Dubey et al., 2015)",ISTKI3A8|EYR5SZNU|5HFQZHCZ,DINAMICO
TFMV3-004,"(Ismael et al., 2019; Torquato et al., 2018)",X8AETQ6Q|FKWZP6C6,DINAMICO
TFMV3-005,"(Congreso de Colombia, 2014, 2021)",DNEN9HVX|DTKWYTC7,DINAMICO
TFMV2-007,"(Olivares et al., 2014)",Y9WQAFRA,DINAMICO
TFMV2-008,(2019),ZANDMWQF,DINAMICO
TFMV2-009,(2018),EKC44FAT,DINAMICO
TFMV2-010,"(Glover et al., 2017; Grainger & Stevenson, 1994)",TCJFYXBK|8JFQJ4KA,DINAMICO
TFMV2-011,(2014),DGAFG9DK,DINAMICO
TFMV2-012,(1994),HSZU6GIG,DINAMICO
TFMV2-013,(2022),84G69YAF,DINAMICO
TFMV2-014,(2024),L9VIK8DD,DINAMICO
TFMV2-015,"(2019, 2021)",9BT87C25|FBIC4P2X,DINAMICO
TFMV2-016,(2014),Y9WQAFRA,DINAMICO
TFMV2-017,"(Comisión de Regulación de Energía y Gas, 2009)",A6JA6M3T,DINAMICO
TFMV2-018,"(Olivares et al., 2014; Zia et al., 2018)",Y9WQAFRA|EKC44FAT,DINAMICO
TFMV2-019,"(Bowen et al., 2019, 2021; Datta et al., 2021; Georgious et al., 2021)",9BT87C25|FBIC4P2X|ZUXE27ZP|QP3CGZJA,DINAMICO
TFMV2-020,"(El-Bidairi et al., 2020; Fotopoulou et al., 2024; Heistrene et al., 2022; Tabares et al., 2020)",4NQEQUHI|L9VIK8DD|84G69YAF|SFRU8STD,DINAMICO
TFMV2-021,(2020),SFRU8STD,DINAMICO
TFMV2-022,(2020),4NQEQUHI,DINAMICO
TFMV3-006,"(Bollen y Rönnberg, 2017)",ISTKI3A8,DINAMICO
TFMV3-007,"(Dubey et al., 2015)",EYR5SZNU,DINAMICO
TFMV3-008,"(Ding y Mather, 2017)",5HFQZHCZ,DINAMICO
TFMV3-009,"(Torquato et al., 2018)",FKWZP6C6,DINAMICO
TFMV3-010,"(Ismael et al., 2019)",X8AETQ6Q,DINAMICO
TFMV3-011,"(Lasseter, 2002)",CZ6LFY9P,DINAMICO
TFMV3-012,"(Parhizi et al., 2015)",HTVUFRQK,DINAMICO
TFMV3-013,"(Guerrero et al., 2011)",S4MIM7PG,DINAMICO
TFMV3-014,"(Rocabert et al., 2012)",JCXWJTQI,DINAMICO
TFMV3-015,"(Ulbig et al., 2014)",MWF95PUD,DINAMICO
TFMV3-016,"(Lin et al., 2020)",AX6CCQYU,DINAMICO
TFMV3-017,"(Kenyon et al., 2020)",Q9PW7TJK,DINAMICO
TFMV3-018,"(IEEE Standards Association, 2018a)",5SQ8RPE2,DINAMICO
TFMV3-019,"(IEEE Standards Association, 2022)",MKKFTWD2,DINAMICO
TFMV3-020,"(IEEE Standards Association, 2018b)",LZAY77EX,DINAMICO
TFMV3-021,"(Comisión de Regulación de Energía y Gas [CREG], 2003, 2007, 2009; Unidad de Planeación Minero Energética et al., 2015)",ICCSRCQE|WX7U5WSU|SXMH6JCX|N8AKENLA,DINAMICO
TFMV3-022,"(PowerWorld Corporation, s. f.-a, s. f.-b)",2UVXQIEQ|M29D77XK,DINAMICO
TFMV2-023,(2014),DGAFG9DK,DINAMICO
TFMV2-024,(1994),8JFQJ4KA,DINAMICO
TFMV2-025,(2021),ZUXE27ZP,DINAMICO
TFMV2-026,(2021),QP3CGZJA,DINAMICO
TFMV2-027,"(El-Bidairi et al., 2020; Olivares et al., 2014)",4NQEQUHI|Y9WQAFRA,DINAMICO
TFMV2-028,(2019),ZANDMWQF,DINAMICO
TFMV2-029,(2022),84G69YAF,DINAMICO
TFMV2-030,(2024),L9VIK8DD,DINAMICO
TFMV2-031,(2020),SFRU8STD,DINAMICO
TFMV2-032,"(2019, 2021)",9BT87C25|FBIC4P2X,DINAMICO
TFMV3-023,"(Ding y Mather, 2017; Dubey et al., 2015; Torquato et al., 2018)",EYR5SZNU|5HFQZHCZ|FKWZP6C6,DINAMICO
TFMV3-024,"(Guerrero et al., 2011; IEEE Standards Association, 2018b; Lin et al., 2020)",S4MIM7PG|LZAY77EX|AX6CCQYU,DINAMICO
TFMV3-025,"(IEEE Standards Association, 2018a, 2022)",5SQ8RPE2|MKKFTWD2,DINAMICO
TFMV3-026,"(Ding y Mather, 2017; Dubey et al., 2015; Ismael et al., 2019)",EYR5SZNU|5HFQZHCZ|X8AETQ6Q,DINAMICO
TFMV3-027,"(Parhizi et al., 2015; Ulbig et al., 2014)",HTVUFRQK|MWF95PUD,DINAMICO
