claim_id,seccion,valor,unidad,valor_mostrado,fuente,campo_origen,transformacion,redondeo,estado
FV-0P9144_B1_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B1_FV15-VMIN,Resultados FV,0.937519,p.u.,"0,937519 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B1_FV15-LOAD,Resultados FV,91.367287,%,"91,37 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B1_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B1_FV30-VMIN,Resultados FV,0.937519,p.u.,"0,937519 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B1_FV30-LOAD,Resultados FV,91.367287,%,"91,37 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B1_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B1_FV50-VMIN,Resultados FV,0.937519,p.u.,"0,937519 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B1_FV50-LOAD,Resultados FV,91.367287,%,"91,37 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B5_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B5_FV15-VMIN,Resultados FV,0.943787,p.u.,"0,943787 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B5_FV15-LOAD,Resultados FV,75.515104,%,"75,52 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B5_FV30-P,Resultados FV,10.276596,MW,"10,277 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,30% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B5_FV30-VMIN,Resultados FV,0.949977,p.u.,"0,949977 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B5_FV30-LOAD,Resultados FV,62.689771,%,"62,69 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B5_FV50-P,Resultados FV,17.127660,MW,"17,128 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,50% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B5_FV50-VMIN,Resultados FV,0.950831,p.u.,"0,950831 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
FV-0P9144_B5_FV50-LOAD,Resultados FV,62.962228,%,"62,96 %",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_max_loading_pct,máximo entre ramas monitorizadas y contingencias,2 decimales,APROBADO
FV-0P9144_B6_FV15-P,Resultados FV,5.138298,MW,"5,138 MW",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,expected_fv_mw,15% de 34.255320 MW,3 decimales,APROBADO
FV-0P9144_B6_FV15-VMIN,Resultados FV,0.950170,p.u.,"0,950170 p.u.",TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json,metrics.ctg_v_min_energized_pu,mínimo entre barras energizadas y contingencias,6 decimales,APROBADO
