tipo,numero,titulo,bookmark
Tabla,1,"Coherencia entre objetivos aprobados, evidencia v2 y producto final",tbl_v2_1
Tabla,2,Clases de evidencia utilizadas,tbl_v2_2
Tabla,3,Comprobación de los dos estados base,tbl_v2_3
Tabla,4,Parámetros de las líneas para ambos extremos de GMD,tbl_v2_4
Tabla,5,Matriz compacta de escenarios FV,tbl_v2_5
Tabla,6,Configuraciones FV+BESS evaluadas,tbl_v2_6
Tabla,7,Contingencias N-1 procesadas,tbl_v2_7
Tabla,8,Criterios de evaluación,tbl_v2_8
Tabla,9,Resultados del estado base para los dos extremos de GMD,tbl_v2_9
Tabla,10,Comparación de los 18 escenarios FV,tbl_v2_10
Figura,1,Tensión mínima N-1 en B5 y B6,fig_v2_1
Tabla,11,Resumen de las cuatro configuraciones BESS,tbl_v2_11
Figura,2,Tensión mínima N-1 de las configuraciones BESS,fig_v2_2
Tabla,12,Síntesis de las cuarenta contingencias BESS,tbl_v2_12
Tabla,13,Sensibilidad de energía nominal BESS,tbl_v2_13
Tabla,14,Cierre simétrico de las hipótesis,tbl_v2_14
Tabla,15,Cierre de los objetivos aprobados,tbl_v2_15
Tabla,16,Inventario mínimo de reproducibilidad,tbl_v2_16
Tabla,17,Supuestos que condicionan la interpretación,tbl_v2_17
Figura,3,"Estado base del modelo con GMD=1,2192 m",fig_v2_3
Figura,4,Salida de uno de los circuitos Punta Evans–El Bight,fig_v2_4
Figura,5,Salida del enlace Punta Evans–SchoolHouse,fig_v2_5
Figura,6,Salida del enlace El Bight–SchoolHouse,fig_v2_6
