Branch
BusNumFrom,BusNameFrom,BusNumTo,BusNameTo,Circuit,Status,BranchDeviceType,IsXF,R,X,B,LimitMVAA,MvarMax,LossMW,Percent
1,PE_132,2,2,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,109","   0,031","  39,221"
1,PE_132,2,2,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,109","   0,031","  39,221"
1,PE_132,2,2,3,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,109","   0,031","  39,221"
2,2,3,3,1,Closed,Line,NO,"  0,15028","  0,16874","  0,00000","     21,8","   1,910","   0,168","  48,014"
2,2,3,3,2,Closed,Line,NO,"  0,15028","  0,16874","  0,00000","     21,8","   1,910","   0,168","  48,014"
2,2,4,4,1,Closed,Line,NO,"  0,19185","  0,21541","  0,00000","     21,8","   1,590","   0,131","  37,585"
3,3,4,4,1,Closed,Line,NO,"  0,05436","  0,06103","  0,00000","     21,8","   0,325","   0,000","   1,532"
3,3,5,5,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,559","   0,036","  41,144"
3,3,5,5,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,559","   0,036","  41,144"
4,4,6,6,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,767","   0,022","  32,121"
