case_id,gmd_m,bess_bus,bess_mw,contingency,processed,solved,island_status,islanded_load_mw,islanded_gen_mw,v_min_energized_pu,v_min_bus,v_max_energized_pu,voltage_criterion,margin_to_0p95_pu,max_loading_pct,governing_element,thermal_criterion,evidence_bus_aux,evidence_branch_aux,data_class,notes
BESS-01,0.9144,5,10,FallaLinea1_PuntaEvans_ElBight,YES,YES,NO,0,0,0.955063,6,1,CUMPLE,0.005063,61.079417,2-3-2,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaLinea2_PuntaEvans_ElBight,YES,YES,NO,0,0,0.955063,6,1,CUMPLE,0.005063,61.079417,2-3-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaLinea1_PuntaEvans_SchoolHouse,YES,YES,NO,0,0,0.949679,6,1,NO_CUMPLE,-0.000321,61.287323,3-4-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaLinea1_ElBight_SchoolHouse,YES,YES,NO,0,0,0.949958,6,1,NO_CUMPLE,-0.000042,62.695502,2-4-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaElevador1_PuntaEvans,YES,YES,NO,0,0,0.958335,6,1,CUMPLE,0.008335,53.194,4-6-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaElevador2_PuntaEvans,YES,YES,NO,0,0,0.958335,6,1,CUMPLE,0.008335,53.194,4-6-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaElevador3_PuntaEvans,YES,YES,NO,0,0,0.958335,6,1,CUMPLE,0.008335,53.194,4-6-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaTrafo1_ElBight,YES,YES,NO,0,0,0.962635,6,1,CUMPLE,0.012635,53.180648,4-6-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaTrafo2_ElBight,YES,YES,NO,0,0,0.962635,6,1,CUMPLE,0.012635,53.180648,4-6-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-01,0.9144,5,10,FallaTrafo1_SchoolHouse,YES,YES,ISLA_CARGA_NO_SERVIDA,13.06,0,0.982615,5,1,NR_ISLA,NR,21.204472,3-5-1,CUMPLE,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Bus.aux,GMD_0p9144m_B5/manual_GMD_0p9144m_Bess_01_Branch.aux,SIM,La tensión de la isla desenergizada se excluye; Vmin corresponde a barras energizadas de la isla principal.
BESS-02,0.9144,6,5.25,FallaLinea1_PuntaEvans_ElBight,YES,YES,NO,0,0,0.951337,5,1,CUMPLE,0.001337,78.786888,2-3-2,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaLinea2_PuntaEvans_ElBight,YES,YES,NO,0,0,0.951337,5,1,CUMPLE,0.001337,78.786888,2-3-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaLinea1_PuntaEvans_SchoolHouse,YES,YES,NO,0,0,0.950418,6,1,CUMPLE,0.000418,67.314479,2-3-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaLinea1_ElBight_SchoolHouse,YES,YES,NO,0,0,0.963156,6,1,CUMPLE,0.013156,48.059512,2-3-1,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
BESS-02,0.9144,6,5.25,FallaElevador1_PuntaEvans,YES,YES,NO,0,0,0.958465,6,1,CUMPLE,0.008465,59.154772,1-2-2,CUMPLE,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Bus.aux,GMD_0p9144m_B6/manual_GMD_0p9144m_Bess_02_Branch.aux,SIM,Sin isla; criterio aplicado a barras energizadas.
