Branch
From Number,From Name,To Number,To Name,Circuit,Status,Branch Device Type,Xfrmr,R,X,B,Lim MVA A,Max Mvar,MW Loss,% of Limit Used 
1,PE_132,2,2,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,125","   0,031","  39,387"
1,PE_132,2,2,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,125","   0,031","  39,387"
1,PE_132,2,2,3,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   2,125","   0,031","  39,387"
2,2,3,3,1,Closed,Line,NO,"  0,15028","  0,17730","  0,00000","     21,8","   1,923","   0,169","  48,182"
2,2,3,3,2,Closed,Line,NO,"  0,15028","  0,17730","  0,00000","     21,8","   1,923","   0,169","  48,182"
2,2,4,4,1,Closed,Line,NO,"  0,19185","  0,22634","  0,00000","     21,8","   1,602","   0,133","  37,805"
3,3,4,4,1,Closed,Line,NO,"  0,05436","  0,06413","  0,00000","     21,8","   0,329","   0,000","   1,509"
3,3,5,5,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,559","   0,036","  41,144"
3,3,5,5,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,559","   0,036","  41,144"
4,4,6,6,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,774","   0,022","  32,566"
