Branch
BusNumFrom,BusNameFrom,BusNumTo,BusNameTo,Circuit,Status,BranchDeviceType,IsXF,R,X,B,LimitMVAA,MvarMax,LossMW,Percent
1,PE_132,2,2,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,757","   0,011","  23,098"
1,PE_132,2,2,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,757","   0,011","  23,098"
1,PE_132,2,2,3,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,757","   0,011","  23,098"
2,2,3,3,1,Closed,Line,NO,"  0,15028","  0,17730","  0,00000","     21,8","   1,761","   0,072","  31,570"
2,2,3,3,2,Closed,Line,NO,"  0,15028","  0,17730","  0,00000","     21,8","   1,761","   0,072","  31,570"
2,2,4,4,1,Closed,Line,NO,"  0,19185","  0,22634","  0,00000","     21,8","   1,430","   0,023","  15,889"
3,3,4,4,1,Closed,Line,NO,"  0,05436","  0,06413","  0,00000","     21,8","   0,245","   0,029","  32,995"
3,3,5,5,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,553","   0,035","  41,139"
3,3,5,5,2,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,553","   0,035","  41,139"
4,4,6,6,1,Closed,Transformer,YES,"  0,03184","  0,31841","  0,00000","     25,0","   1,613","   0,006","  17,475"
