caso,gmd_m,barra_bess,p_bess_mw,contingencia,estado,v_min_energizada_pu,barra_v_min,margen_0p95_pu,carga_max_pct,elemento_termico,isla_carga_no_servida_mw,criterio,procedencia
BESS-01,0.9144,5,10,FallaLinea1_PuntaEvans_ElBight,RESUELTA,0.955063,6,0.005063,61.079417,2-3-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaLinea2_PuntaEvans_ElBight,RESUELTA,0.955063,6,0.005063,61.079417,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaLinea1_PuntaEvans_SchoolHouse,RESUELTA,0.949679,6,-0.000321,61.287323,3-4-1,0,NO_CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaLinea1_ElBight_SchoolHouse,RESUELTA,0.949958,6,-0.000042,62.695502,2-4-1,0,NO_CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaElevador1_PuntaEvans,RESUELTA,0.958335,6,0.008335,53.194,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaElevador2_PuntaEvans,RESUELTA,0.958335,6,0.008335,53.194,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaElevador3_PuntaEvans,RESUELTA,0.958335,6,0.008335,53.194,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaTrafo1_ElBight,RESUELTA,0.962635,6,0.012635,53.180648,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaTrafo2_ElBight,RESUELTA,0.962635,6,0.012635,53.180648,4-6-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-01,0.9144,5,10,FallaTrafo1_SchoolHouse,ISLA_CARGA_NO_SERVIDA,0.982615,5,NR,21.204472,3-5-1,13.06,NR_TENSION_ISLA,SIM
BESS-02,0.9144,6,5.25,FallaLinea1_PuntaEvans_ElBight,RESUELTA,0.951337,5,0.001337,78.786888,2-3-2,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaLinea2_PuntaEvans_ElBight,RESUELTA,0.951337,5,0.001337,78.786888,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
BESS-02,0.9144,6,5.25,FallaLinea1_PuntaEvans_SchoolHouse,RESUELTA,0.950418,6,0.000418,67.314479,2-3-1,0,CUMPLE_TENSION/CUMPLE_TERMICO,SIM
