case_id,gmd_m,ubicacion_fv,penetracion_pct,fv_mw,modo_fv,v_min_base_pu,mismatch_max_mva,perdidas_base_mw,v_min_n1_pu,bus_gobernante,contingencia_gobernante,filas_bajo_0p95,carga_max_n1_pct,elemento_termico_gobernante,contingencia_termica,contingencias_procesadas,contingencias_resueltas,isla_separada,carga_isla_mw,criterio_tension,criterio_termico,clase_dato,fuente
0p9144_B1_FV15,0.9144,B1,15,5.138298,CONTROL_SLACK,0.955070,0,0.931,0.937519,6,FallaLinea1_PuntaEvans_SchoolHouse,13,91.367287,2-3-2,FallaLinea1_PuntaEvans_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B1_FV30,0.9144,B1,30,10.276596,CONTROL_SLACK,0.955070,0,0.931,0.937519,6,FallaLinea1_PuntaEvans_SchoolHouse,13,91.367287,2-3-2,FallaLinea1_PuntaEvans_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B1_FV50,0.9144,B1,50,17.127660,CONTROL_SLACK,0.955070,0,0.931,0.937519,6,FallaLinea1_PuntaEvans_SchoolHouse,13,91.367287,2-3-2,FallaLinea1_PuntaEvans_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B5_FV15,0.9144,B5,15,5.138298,PQ_Q0,0.959350,0.100,0.677,0.943787,6,FallaLinea1_PuntaEvans_SchoolHouse,4,75.515104,2-3-2,FallaLinea1_PuntaEvans_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B5_FV30,0.9144,B5,30,10.276596,PQ_Q0,NR,0.090,0.478,0.949977,6,FallaLinea1_PuntaEvans_SchoolHouse,1,62.689771,2-4-1,FallaLinea1_ElBight_SchoolHouse,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B5_FV50,0.9144,B5,50,17.127660,PQ_Q0,0.967650,0,0.290,0.950831,6,FallaLinea1_ElBight_SchoolHouse,0,62.962228,2-4-1,FallaLinea1_ElBight_SchoolHouse,10,10,FallaTrafo1_SchoolHouse,13.060000,CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B6_FV15,0.9144,B6,15,5.138298,PQ_Q0,0.963550,0,0.658,0.950170,6,FallaLinea1_PuntaEvans_SchoolHouse,0,83.085824,3-5-2,FallaTrafo1_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B6_FV30,0.9144,B6,30,10.276596,PQ_Q0,0.967700,0,0.458,0.957079,5,FallaLinea1_PuntaEvans_ElBight,0,83.072648,3-5-2,FallaTrafo1_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
0p9144_B6_FV50,0.9144,B6,50,17.127660,PQ_Q0,0.971980,0,0.305,0.961519,5,FallaTrafo1_ElBight,0,83.057776,3-5-2,FallaTrafo1_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
1p2192_B1_FV15,1.2192,B1,15,5.138298,CONTROL_SLACK,0.954820,0,0.931,0.937064,6,FallaLinea1_PuntaEvans_SchoolHouse,13,91.400468,2-3-2,FallaLinea1_PuntaEvans_ElBight,10,10,FallaTrafo1_SchoolHouse,13.060000,NO_CUMPLE,CUMPLE,SIM,TFM/Entrega_final/sdd/revision_fv_bess/audit_fv_results.json
